from,to,shared_tokens,from_impressions,to_impressions
/guides/familyboard-annual-subscription-cost-calculator-tutorial/,/tools/annual-subscription-cost-calculator/,en::annual+calculator+cost+subscription,0,67
/guides/familyboard-house-sitter-instruction-generator-tutorial/,/tools/house-sitter-instruction-generator/,en::generator+house+instruction+sitter,0,5
/features/household-documents-organizer/,/guides/household-documents-organizer/,en::documents+organizer,1,5
/guides/familyboard-pet-sitter-instruction-generator-tutorial/,/tools/pet-sitter-instruction-generator/,en::generator+instruction+pet+sitter,0,4
/guides/familyboard-emergency-contact-sheet-generator-tutorial/,/tools/emergency-contact-sheet-generator/,en::contact+emergency+generator+sheet,0,3
/zh-tw/guides/familyboard-annual-subscription-cost-calculator-tutorial/,/zh-tw/tools/annual-subscription-cost-calculator/,zh-tw::annual+calculator+cost+subscription,0,0
/zh-tw/guides/familyboard-emergency-contact-sheet-generator-tutorial/,/zh-tw/tools/emergency-contact-sheet-generator/,zh-tw::contact+emergency+generator+sheet,0,0
/guides/repair-history/,/guides/home-repair-history/,en::history+repair,0,0
/tools/household-account-list/,/guides/household-account-list/,en::account+list,0,0
/guides/familyboard-appliance-maintenance-checklist-generator-tutorial/,/tools/appliance-maintenance-checklist-generator/,en::appliance+checklist+generator+maintenance,0,0
/guides/familyboard-move-out-condition-report-generator-tutorial/,/tools/move-out-condition-record-generator/,en::condition+generator+move+out,0,0
/guides/familyboard-emergency-supply-inventory-audit-tutorial/,/tools/emergency-supply-inventory-audit/,en::audit+emergency+inventory+supply,0,0
/guides/familyboard-power-outage-event-log-tutorial/,/tools/household-power-outage-event-log/,en::event+log+outage+power,0,0
/guides/familyboard-product-recall-action-log-tutorial/,/tools/product-recall-action-log/,en::action+log+product+recall,0,0
/guides/familyboard-moving-box-handover-log-tutorial/,/tools/moving-box-handover-log/,en::box+handover+log+moving,0,0
/guides/familyboard-storage-unit-access-inventory-log-tutorial/,/tools/storage-unit-access-inventory-log/,en::access+inventory+log+storage,0,0
/guides/familyboard-record-retention-decision-log-tutorial/,/tools/household-record-retention-decision-log/,en::decision+log+record+retention,0,0
/guides/familyboard-home-care-service-interruption-backup-continuity-tutorial/,/tools/home-care-service-interruption-backup-continuity-log/,en::backup+care+continuity+interruption,0,0
/guides/familyboard-household-meeting-agenda-action-log-tutorial/,/tools/household-meeting-agenda-action-log/,en::action+agenda+log+meeting,0,0
/guides/familyboard-pantry-expiry-review-log-tutorial/,/tools/household-pantry-expiry-review-log/,en::expiry+log+pantry+review,0,0
/guides/familyboard-clothing-care-repair-log-tutorial/,/tools/household-clothing-care-repair-log/,en::care+clothing+log+repair,0,0
/guides/familyboard-meal-prep-role-log-tutorial/,/tools/household-meal-prep-role-log/,en::log+meal+prep+role,0,0
/guides/familyboard-trip-packing-handoff-log-tutorial/,/tools/household-trip-packing-handoff-log/,en::handoff+log+packing+trip,0,0
/guides/familyboard-mail-package-handoff-log-tutorial/,/tools/household-mail-package-handoff-log/,en::handoff+log+mail+package,0,0
/guides/familyboard-plant-care-handoff-log-tutorial/,/tools/household-plant-care-handoff-log/,en::care+handoff+log+plant,0,0
/guides/familyboard-replacement-part-source-check-log-tutorial/,/tools/household-replacement-part-source-check-log/,en::check+log+part+replacement,0,0
/guides/familyboard-household-shopping-list-planner-tutorial/,/guides/familyboard-shopping-list-planner-tutorial/,en::list+planner+shopping+tutorial,0,0
/guides/familyboard-master-csv-edit-import-tutorial/,/guides/familyboard-master-csv-edit-import/,en::csv+edit+import+master,0,0
/guides/familyboard-household-backup-recovery-checker-tutorial/,/guides/familyboard-backup-recovery-checker-tutorial/,en::backup+checker+recovery+tutorial,0,0
/guides/familyboard-household-time-window-overlap-checker-tutorial/,/guides/familyboard-time-window-overlap-checker-tutorial/,en::checker+overlap+time+tutorial,0,0
/guides/familyboard-household-task-load-calculator-tutorial/,/guides/familyboard-task-load-calculator-tutorial/,en::calculator+load+task+tutorial,0,0
/guides/familyboard-service-provider-verification-tutorial/,/guides/familyboard-home-service-provider-verification-tutorial/,en::provider+service+tutorial+verification,0,0
/guides/familyboard-repair-change-order-tutorial/,/guides/familyboard-home-repair-change-order-tutorial/,en::change+order+repair+tutorial,0,0
/zh-tw/guides/familyboard-appliance-maintenance-checklist-generator-tutorial/,/zh-tw/tools/appliance-maintenance-checklist-generator/,zh-tw::appliance+checklist+generator+maintenance,0,0
/zh-tw/guides/familyboard-emergency-supply-inventory-audit-tutorial/,/zh-tw/tools/emergency-supply-inventory-audit/,zh-tw::audit+emergency+inventory+supply,0,0
/zh-tw/guides/familyboard-household-backup-recovery-checker-tutorial/,/zh-tw/guides/familyboard-backup-recovery-checker-tutorial/,zh-tw::backup+checker+recovery+tutorial,0,0
/zh-tw/tools/household-clothing-care-repair-log/,/zh-tw/guides/familyboard-clothing-care-repair-log-tutorial/,zh-tw::care+clothing+log+repair,0,0
/zh-tw/tools/home-care-service-interruption-backup-continuity-log/,/zh-tw/guides/familyboard-home-care-service-interruption-backup-continuity-tutorial/,zh-tw::backup+care+continuity+interruption,0,0
/zh-tw/guides/familyboard-repair-change-order-tutorial/,/zh-tw/guides/familyboard-home-repair-change-order-tutorial/,zh-tw::change+order+repair+tutorial,0,0
/zh-tw/guides/familyboard-service-provider-verification-tutorial/,/zh-tw/guides/familyboard-home-service-provider-verification-tutorial/,zh-tw::provider+service+tutorial+verification,0,0
/zh-tw/tools/house-sitter-instruction-generator/,/zh-tw/guides/familyboard-house-sitter-instruction-generator-tutorial/,zh-tw::generator+house+instruction+sitter,0,0
/zh-tw/tools/household-meeting-agenda-action-log/,/zh-tw/guides/familyboard-household-meeting-agenda-action-log-tutorial/,zh-tw::action+agenda+log+meeting,0,0
/zh-tw/guides/familyboard-shopping-list-planner-tutorial/,/zh-tw/guides/familyboard-household-shopping-list-planner-tutorial/,zh-tw::list+planner+shopping+tutorial,0,0
/zh-tw/guides/familyboard-task-load-calculator-tutorial/,/zh-tw/guides/familyboard-household-task-load-calculator-tutorial/,zh-tw::calculator+load+task+tutorial,0,0
/zh-tw/guides/familyboard-time-window-overlap-checker-tutorial/,/zh-tw/guides/familyboard-household-time-window-overlap-checker-tutorial/,zh-tw::checker+overlap+time+tutorial,0,0
/zh-tw/tools/household-mail-package-handoff-log/,/zh-tw/guides/familyboard-mail-package-handoff-log-tutorial/,zh-tw::handoff+log+mail+package,0,0
/zh-tw/guides/familyboard-master-csv-edit-import/,/zh-tw/guides/familyboard-master-csv-edit-import-tutorial/,zh-tw::csv+edit+import+master,0,0
/zh-tw/tools/household-meal-prep-role-log/,/zh-tw/guides/familyboard-meal-prep-role-log-tutorial/,zh-tw::log+meal+prep+role,0,0
/zh-tw/tools/move-out-condition-record-generator/,/zh-tw/guides/familyboard-move-out-condition-report-generator-tutorial/,zh-tw::condition+generator+move+out,0,0
/zh-tw/tools/moving-box-handover-log/,/zh-tw/guides/familyboard-moving-box-handover-log-tutorial/,zh-tw::box+handover+log+moving,0,0
/zh-tw/tools/household-pantry-expiry-review-log/,/zh-tw/guides/familyboard-pantry-expiry-review-log-tutorial/,zh-tw::expiry+log+pantry+review,0,0
/zh-tw/tools/pet-sitter-instruction-generator/,/zh-tw/guides/familyboard-pet-sitter-instruction-generator-tutorial/,zh-tw::generator+instruction+pet+sitter,0,0
/zh-tw/tools/household-plant-care-handoff-log/,/zh-tw/guides/familyboard-plant-care-handoff-log-tutorial/,zh-tw::care+handoff+log+plant,0,0
/zh-tw/tools/household-power-outage-event-log/,/zh-tw/guides/familyboard-power-outage-event-log-tutorial/,zh-tw::event+log+outage+power,0,0
/zh-tw/tools/product-recall-action-log/,/zh-tw/guides/familyboard-product-recall-action-log-tutorial/,zh-tw::action+log+product+recall,0,0
/zh-tw/tools/household-record-retention-decision-log/,/zh-tw/guides/familyboard-record-retention-decision-log-tutorial/,zh-tw::decision+log+record+retention,0,0
/zh-tw/tools/household-replacement-part-source-check-log/,/zh-tw/guides/familyboard-replacement-part-source-check-log-tutorial/,zh-tw::check+log+part+replacement,0,0
/zh-tw/tools/storage-unit-access-inventory-log/,/zh-tw/guides/familyboard-storage-unit-access-inventory-log-tutorial/,zh-tw::access+inventory+log+storage,0,0
/zh-tw/tools/household-trip-packing-handoff-log/,/zh-tw/guides/familyboard-trip-packing-handoff-log-tutorial/,zh-tw::handoff+log+packing+trip,0,0
/zh-tw/guides/repair-history/,/zh-tw/guides/home-repair-history/,zh-tw::history+repair,0,0
/zh-tw/guides/household-account-list/,/zh-tw/tools/household-account-list/,zh-tw::account+list,0,0
/zh-tw/guides/household-documents-organizer/,/zh-tw/features/household-documents-organizer/,zh-tw::documents+organizer,0,0
