url,indexable,page_type,cluster,main_content_inlinks,candidate_main_content_inlinks,production_main_content_inlinks,source_urls,priority_gate,normal_gate,orphan,decision
https://familyboard.win/,true,,,12,12,,https://familyboard.win/checklists/ | https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/ | https://familyboard.win/templates/ | https://familyboard.win/tools/,PASS,n/a,NO,PASS
https://familyboard.win/features/,true,,,12,12,,https://familyboard.win/checklists/ | https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/ | https://familyboard.win/ | https://familyboard.win/templates/ | https://familyboard.win/tools/,PASS,n/a,NO,PASS
https://familyboard.win/features/home-inventory-tracker/,true,,,14,14,,https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/ceiling-fan-maintenance-checklist/ | https://familyboard.win/guides/household-supplies-inventory/ | https://familyboard.win/guides/microwave-maintenance-checklist/ | https://familyboard.win/ | https://familyboard.win/templates/printable-home-inventory-template/ | https://familyboard.win/tools/appliance-age-calculator/ | https://familyboard.win/tools/home-inventory-checklist-generator/,PASS,n/a,NO,PASS
https://familyboard.win/features/maintenance-tracker/,true,,,14,14,,https://familyboard.win/checklists/printable-home-maintenance-checklist/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/dryer-maintenance-checklist/ | https://familyboard.win/guides/humidifier-maintenance-guide/ | https://familyboard.win/guides/quarterly-home-maintenance-checklist/ | https://familyboard.win/guides/robot-vacuum-maintenance-guide/ | https://familyboard.win/guides/washing-machine-maintenance-checklist/ | https://familyboard.win/ | https://familyboard.win/tools/home-maintenance-schedule-generator/,n/a,PASS,NO,PASS
https://familyboard.win/features/household-documents-organizer/,true,,,9,9,,https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/household-documents-organizer/ | https://familyboard.win/guides/oven-maintenance-checklist/,n/a,PASS,NO,PASS
https://familyboard.win/features/household-handoff/,true,,,14,14,,https://familyboard.win/checklists/printable-house-sitter-checklist/ | https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/family-continuity-plan/ | https://familyboard.win/guides/home-maintenance-after-vacation/ | https://familyboard.win/ | https://familyboard.win/templates/printable-household-handoff-sheet/ | https://familyboard.win/templates/printable-service-provider-list/ | https://familyboard.win/tools/house-sitter-instruction-generator/,n/a,PASS,NO,PASS
https://familyboard.win/features/family-display-mode/,true,,,8,8,,https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/family-chore-system/,n/a,PASS,NO,PASS
https://familyboard.win/features/private-family-organizer/,true,,,7,7,,https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/free-home-management-app/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/,n/a,PASS,NO,PASS
https://familyboard.win/features/free-home-management-app/,true,,,13,13,,https://familyboard.win/features/family-display-mode/ | https://familyboard.win/features/home-inventory-tracker/ | https://familyboard.win/features/household-documents-organizer/ | https://familyboard.win/features/household-handoff/ | https://familyboard.win/features/ | https://familyboard.win/features/maintenance-tracker/ | https://familyboard.win/features/private-family-organizer/ | https://familyboard.win/guides/dishwasher-maintenance-checklist/ | https://familyboard.win/guides/freezer-maintenance-checklist/ | https://familyboard.win/guides/garbage-disposal-maintenance-guide/ | https://familyboard.win/guides/water-heater-maintenance-records/ | https://familyboard.win/guides/water-leak-response-home-records/ | https://familyboard.win/tools/home-maintenance-cost-tracker/,n/a,PASS,NO,PASS
https://familyboard.win/guides/monthly-home-maintenance-checklist/,true,,,6,6,,https://familyboard.win/guides/home-maintenance-after-vacation/ | https://familyboard.win/guides/home-service-provider-list/ | https://familyboard.win/guides/ | https://familyboard.win/guides/power-outage-home-preparedness/ | https://familyboard.win/guides/quarterly-home-maintenance-checklist/ | https://familyboard.win/guides/water-leak-response-home-records/,n/a,PASS,NO,PASS
https://familyboard.win/guides/quarterly-home-maintenance-checklist/,true,,,6,6,,https://familyboard.win/guides/home-maintenance-after-vacation/ | https://familyboard.win/guides/home-service-provider-list/ | https://familyboard.win/guides/ | https://familyboard.win/guides/monthly-home-maintenance-checklist/ | https://familyboard.win/guides/power-outage-home-preparedness/ | https://familyboard.win/guides/water-leak-response-home-records/,n/a,PASS,NO,PASS
