URL,Cluster,Page Type,TotalInlinks,HeaderNavInlinks,FooterInlinks,MainContentInlinks,UniqueMainContentSourcePages,HubInlinks,FeatureInlinks,ToolInlinks,GuideInlinks,FooterDependency,ContextualAuthorityLevel,Evidence
https://familyboard.win/about/,support,support,509,1,508,1,1,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/affiliate-disclosure/,support,support,509,1,508,1,1,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/changelog/,support,support,509,1,508,2,2,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/checklists/,support,support,509,509,508,0,0,0,0,0,0,0.998,FOOTER_DEPENDENT,REPO_EVIDENCE
https://familyboard.win/checklists/printable-emergency-binder-checklist/,printables,printable,4,1,0,3,3,0,0,1,1,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/checklists/printable-home-maintenance-checklist/,printables,printable,509,1,508,1,1,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/checklists/printable-house-sitter-checklist/,printables,printable,4,1,0,3,3,0,0,1,1,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/checklists/printable-monthly-home-checklist/,printables,printable,509,1,508,2,2,0,0,0,1,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/checklists/printable-moving-checklist/,printables,printable,2,1,0,1,1,0,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/checklists/printable-new-home-checklist/,printables,printable,1,0,0,1,1,0,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/checklists/printable-pet-sitter-checklist/,printables,printable,4,1,0,3,3,0,0,1,1,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/checklists/printable-seasonal-home-checklist/,printables,printable,509,1,508,1,1,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/contact/,support,support,509,1,508,505,505,3,0,112,357,0.998,STRONG,REPO_EVIDENCE
https://familyboard.win/disclaimer/,support,support,509,1,508,1,1,0,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/editorial-policy/,support,support,1023,1,508,1020,1020,3,0,224,726,0.4966,STRONG,REPO_EVIDENCE
https://familyboard.win/features/emergency-information-organizer/,product,content,30,1,0,29,29,1,0,7,18,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/family-display-mode/,product,content,11,1,0,10,10,1,0,0,10,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/family-task-manager/,product,content,28,1,0,27,27,1,0,3,21,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/free-home-management-app/,product,content,35,1,0,34,34,1,0,5,28,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/home-dashboard/,product,content,26,1,0,25,25,1,0,2,20,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/home-inventory-tracker/,product,content,30,1,0,29,29,2,0,4,22,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/home-record-keeper/,inventory-warranty,content,2,1,0,1,1,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/features/household-calendar/,product,content,10,1,0,9,9,1,0,0,7,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/household-documents-organizer/,product,content,23,1,0,22,22,1,0,4,17,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/household-handoff/,product,content,30,1,0,29,29,2,0,4,20,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/household-operations-system/,product,content,2,1,0,1,1,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/features/household-subscription-tracker/,product,content,11,1,0,10,10,1,0,2,6,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/,product,content,509,509,508,3,3,1,0,0,2,0.998,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/features/local-first-home-organizer/,product,content,3,1,0,2,2,1,0,0,2,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/features/maintenance-tracker/,product,content,44,1,0,43,43,2,0,3,38,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/no-account-family-organizer/,product,content,2,1,0,1,1,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/features/offline-household-organizer/,product,content,4,1,0,3,3,1,0,0,3,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/features/private-family-organizer/,product,content,19,1,0,18,18,1,0,1,17,0,STRONG,REPO_EVIDENCE
https://familyboard.win/features/warranty-tracker/,product,content,14,1,0,13,13,1,0,2,9,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/air-conditioner-maintenance-checklist/,appliances,content,509,1,508,4,4,1,0,0,3,0.998,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/air-purifier-maintenance-guide/,appliances,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/annual-home-review/,maintenance,content,509,1,508,6,6,1,0,1,4,0.998,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/annual-renewal-calendar/,household-operations,content,17,1,0,16,16,1,0,5,9,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/apartment-maintenance-checklist/,maintenance,content,509,1,508,2,2,1,0,0,1,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/appliance-inventory/,inventory-warranty,content,21,1,0,20,20,1,0,4,14,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/appliance-lifespan-planning/,inventory-warranty,content,6,1,0,5,5,1,0,1,3,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/appliance-replacement-planning/,inventory-warranty,content,15,1,0,14,14,1,0,4,9,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/bathroom-exhaust-fan-maintenance-checklist/,appliances,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/carbon-monoxide-alarm-records/,appliances,content,3,1,0,2,2,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/caregiver-handoff-checklist/,records-emergency,content,10,1,0,9,9,1,0,5,3,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/ceiling-fan-maintenance-checklist/,appliances,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/chore-chart-for-adults/,household-operations,content,3,1,0,2,2,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/cleaning-schedule/,household-operations,content,6,1,0,5,5,1,0,1,2,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/coffee-maker-maintenance-guide/,appliances,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/computer-electronics-inventory/,appliances,content,5,1,0,4,4,1,0,0,3,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/condo-maintenance-checklist/,maintenance,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/contractor-records/,inventory-warranty,content,15,1,0,14,14,1,0,5,7,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/deep-cleaning-tracker/,household-operations,content,6,1,0,5,5,1,0,1,2,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/dehumidifier-maintenance-guide/,appliances,content,3,1,0,2,2,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/dehumidifier-maintenance-records/,appliances,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/digital-home-binder/,records-emergency,content,13,1,0,12,12,1,0,3,8,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/digital-home-inventory-backup/,inventory-warranty,content,14,1,0,13,13,1,0,3,9,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/dishwasher-maintenance-checklist/,appliances,content,509,1,508,2,2,1,0,0,1,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/divide-household-responsibilities/,household-operations,content,8,1,0,7,7,1,0,0,6,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/dryer-maintenance-checklist/,appliances,content,509,1,508,2,2,1,0,0,1,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/electronics-inventory/,inventory-warranty,content,5,1,0,4,4,1,0,1,2,0,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/emergency-binder/,records-emergency,content,9,1,0,8,8,1,0,3,3,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/emergency-information-sheet/,records-emergency,content,25,1,0,24,24,1,0,7,14,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/emergency-supply-inventory/,records-emergency,content,11,1,0,10,10,1,0,3,6,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/fall-home-maintenance-checklist/,maintenance,content,509,1,508,4,4,1,0,0,2,0.998,ESTABLISHED,REPO_EVIDENCE
https://familyboard.win/guides/family-chore-system/,household-operations,content,12,1,0,11,11,1,0,2,7,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/family-continuity-plan/,records-emergency,content,8,1,0,7,7,1,0,2,3,0,STRONG,REPO_EVIDENCE
https://familyboard.win/guides/family-emergency-contacts/,records-emergency,content,3,1,0,2,2,1,0,0,1,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-accessibility-walkthrough-tutorial/,product,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-annual-subscription-cost-calculator-tutorial/,household-operations,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-app-first-run-restore-tutorial/,product,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-appliance-age-calculator-tutorial/,tools,content,2,1,0,1,1,1,0,0,0,0,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-appliance-maintenance-checklist-generator-tutorial/,appliances,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-appliance-manual-source-check-tutorial/,appliances,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
https://familyboard.win/guides/familyboard-appliance-manual-source-tutorial/,appliances,content,509,1,508,1,1,1,0,0,0,0.998,EMERGING,REPO_EVIDENCE
